ADEX_ID;DAT_QUELLE;BEZEICHNG;GDE_NAME;GDE_KENN;KOO_REFSYS;X_VON;Y_VON;X_BIS;Y_BIS;Z;GENAUIGK;BEGRUENDUNG;;DAT_FEIN;;;;;;;;;;;;;;;;;LITERATUR;LISTENTEXT
N° de site ADAB;base source;Nom du site;commune principale;code commune;système de projection;X de;Y de;X à;Y à;Z;précision;Etat des connaissances;occupation;datation précise début;datation précise fin;immo niv1;immo niv2;immo niv3;immo niv4;Profondeur des vestiges;immo_exp;mob niv1;mob niv2;mob niv3;mob niv4;mob_exp;prod niv1;prod niv2;prod niv3;prod_exp;Bibliographie;Remarques
BW_102911242;ADABweb;"Köndringen, Ortsetter""""";Teningen;8316043;4326;7.8054496053;48.1387391405;7.8054496053;48.1387391405;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;Funéraire;Indéterminé;inhumation;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102911242;NULL
BW_102918539;ADABweb;"Köndringen, Ortsetter""""";Teningen;8316043;4326;7.8054886202;48.1395883593;7.8054886202;48.1395883593;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;Aménagement hydraulique;Puits;NULL;NON;dossier : 102918539;NULL
BW_102940960;ADABweb;"Köndringen, Niederwald""""";Teningen;8316043;4326;7.7857252513;48.1367816324;7.7881310182;48.1386298959;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102940960;NULL
BW_102941177;ADABweb;"Köndringen, Huberten""""";Teningen;8316043;4326;7.8021231908;48.1434577347;7.8038474229;48.1445798785;0;non;Littérature prospecté;Unique;Hallstatt indéterminé;Hallstatt indéterminé;Habitat;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102941177;NULL
BW_102917599;ADABweb;"Köndringen, Huberten""""";Teningen;8316043;4326;7.8031918949;48.1437085372;7.8035383256;48.1441030794;0;non;Littérature prospecté;Unique;Hallstatt indéterminé;Hallstatt indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Fundber. Baden-Württemberg 15, 1990, 578f.
Der Landkreis Emmendingen II.2 (2001) 715. ; Dossier : 102917599";NULL
BW_102939321;ADABweb;"Köndringen, Gländ""""";Teningen;8316043;4326;7.8129076348;48.1313592061;7.8148949591;48.1323400231;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102939321;NULL
BW_102941440;ADABweb;"Köndringen, Brunnenrain"", Bruderhäusle""";Teningen;8316043;4326;7.8581046083;48.1524287695;7.8589412309;48.152889412;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Habitat;Isolé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102941440;Ermitage
BW_102892014;ADABweb;"Heimbach, Ortsetter"", Galluskapelle";Teningen;8316043;4326;7.8298898476;48.1650152973;7.8298898476;NULL;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Rituel;Eglise;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Der Landkreis Emmendingen II.2 (2003) 713f.
Teningen - Ein Heimatbuch (1990) 212-214. ; Dossier : 102892014";" Alte Galluskirche"""
BW_102917323;ADABweb;Hauptstrasse 13, Köndringen;Teningen;8316043;4326;7.8048981246;48.13913452;7.8048981246;48.13913452;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;Isolé;Statuaire;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102917323;NULL
BW_102892338;ADABweb;"Am Gallenbach 1, Heimbach, Ortsetter"", Alte Galluskirche""";Teningen;8316043;4326;7.8297037368;48.1648580842;7.8306894791;48.1659612776;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Rituel;Eglise;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102892338;NULL
BW_102941142;ADABweb;"Bahnhofstrasse 4, Köndringen, Ortsetter"", Kirche""";Teningen;8316043;4326;7.8047647517;48.1383399992;7.8054133711;48.1387290117;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Rituel;Eglise;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102941142;NULL
